,gene_name,Bcells replicate 1 half_life,Bcells replicate 1 dataQual,Bcells replicate 1 R_sq,Bcells replicate 2 half_life,Bcells replicate 2 dataQual,Bcells replicate 2 R_sq,NK cells replicate 1 half_life,NK cells replicate 1 dataQual,NK cells replicate 1 R_sq,NK cells replicate 2 half_life,NK cells replicate 2 dataQual,NK cells replicate 2 R_sq,Hepatocytes replicate 1 half_life,Hepatocytes replicate 1 dataQual,Hepatocytes replicate 1 R_sq,Hepatocytes replicate 2 half_life,Hepatocytes replicate 2 dataQual,Hepatocytes replicate 2 R_sq,Monocytes replicate 1 half_life,Monocytes replicate 1 dataQual,Monocytes replicate 1 R_sq,Monocytes replicate 2 half_life,Monocytes replicate 2 dataQual,Monocytes replicate 2 R_sq,"Mouse Neurons, replicate 3 half_life","Mouse Neurons, replicate 3 dataQual","Mouse Neurons, replicate 3 R_sq","Mouse Neurons, replicate 4 half_life","Mouse Neurons, replicate 4 dataQual","Mouse Neurons, replicate 4 R_sq",Bcell_mean,NKcell_mean,Hepatocytes_mean,Monocytes_mean,MouseNeuorons_mean,Max_halflife
86,ACTR3,159.91299999999998,good,0.982,222.218,good,0.995,788.195,good,0.996,710.159,good,0.9990000000000001,87.398,good,0.9940000000000001,98.835,good,0.9890000000000001,116.75399999999999,good,0.993,90.736,good,0.986,66.51899999999999,good,0.998,85.492,good,0.9990000000000001,191.0655,749.177,93.1165,103.745,76.0055,749.177
87,ACTR3B,,,,,,,,,,,,,,,,,,,,,,,,,38.363,weak,0.976,68.812,weak,0.9179999999999999,,,,,53.5875,53.5875
88,ACTR5,,,,69.797,weak,0.945,,,,150.333,weak,0.878,,,,,,,,,,55.059,weak,0.993,,,,,,,69.797,150.333,,55.059,,150.333
89,ACTR8,70.977,weak,0.871,,,,,,,,,,,,,,,,67.396,weak,0.929,,,,62.195,weak,0.963,70.324,weak,0.9990000000000001,70.977,,,67.396,66.2595,70.977
90,ACYP2,157.886,weak,0.987,,,,,,,,,,,,,,,,95.15100000000001,weak,0.9209999999999999,125.54700000000001,weak,0.882,,,,,,,157.886,,,110.34900000000002,,157.886
91,ADA,177.222,weak,0.914,,,,,,,,,,,,,,,,86.318,good,0.992,67.971,good,0.988,103.48299999999999,weak,0.976,127.48299999999999,good,0.966,177.222,,,77.1445,115.48299999999999,177.222
92,ADAM10,40.87,weak,0.99,49.02,good,0.992,81.383,good,0.996,62.758,good,0.8640000000000001,23.315,good,0.961,22.936,good,0.941,40.339,good,0.98,19.438,good,0.961,31.414,good,0.909,31.451999999999998,good,0.961,44.945,72.0705,23.125500000000002,29.8885,31.433,72.0705
93,ADAM28,19.3,weak,0.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,,,,,19.3
94,ADAR,57.881,good,0.982,63.916000000000004,good,1.0,122.273,good,0.9990000000000001,101.844,good,0.9990000000000001,34.404,good,0.997,35.211,good,0.998,58.766000000000005,good,0.983,43.062,good,0.97,16.814,good,0.986,15.338,good,0.9940000000000001,60.8985,112.0585,34.807500000000005,50.914,16.076,112.0585
95,ADARB1,,,,244.5,weak,0.917,,,,237.495,weak,0.9,,,,,,,,,,,,,23.153000000000002,good,0.997,23.443,good,0.993,244.5,237.495,,,23.298000000000002,244.5
96,ADCK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.008,good,0.996,,,,,76.008,76.008
97,ADCK3,60.023,weak,0.988,55.916000000000004,good,0.995,44.492,weak,0.972,34.896,weak,0.983,31.894000000000002,good,0.997,37.083,good,0.997,35.191,weak,0.9940000000000001,28.031999999999996,weak,0.995,,,,,,,57.969500000000004,39.694,34.4885,31.6115,,57.969500000000004
98,ADCK4,,,,,,,,,,,,,56.185,weak,0.9890000000000001,77.357,good,0.9990000000000001,,,,,,,36.010999999999996,weak,0.98,47.055,good,0.968,,,66.771,,41.533,66.771
99,ADD1,107.41,good,0.995,95.221,good,0.9990000000000001,125.478,good,0.998,81.91,good,1.0,32.165,weak,0.92,44.162,weak,0.9209999999999999,60.022,weak,0.866,52.306999999999995,good,0.9740000000000001,43.278999999999996,good,1.0,61.396,good,0.9990000000000001,101.3155,103.69399999999999,38.1635,56.1645,52.3375,103.69399999999999
100,ADD2,,,,238.56099999999998,weak,0.993,,,,,,,,,,,,,,,,,,,42.982,good,1.0,54.735,good,1.0,238.56099999999998,,,,48.8585,238.56099999999998
